shortid,europeanancestry1900,excolony,governancequality,logincome,logsettlermortality,loghjypl,basesample
ROM,100.0,0.0,7.2727274894714400,8.3870849609375,,-2.1803674697876000,
RUS,100.0,0.0,8.454545021057130,8.405143737792970,,-0.874669075012207,
RWA,0.0,1.0,,6.476972579956060,5.63478946685791,-3.146555185317990,
SAU,0.0,1.0,7.590909004211430,9.239899635314940,,-0.6386590003967290,
SDN,0.0,1.0,4.0,7.3065314292907700,4.479607105255130,-2.7030625343322800,1.0
SEN,0.0,1.0,6.0,7.402451515197750,5.103882789611820,-2.631089210510250,1.0
SGP,4.0,1.0,9.318181991577150,10.14643383026120,2.8735647201538100,-0.5008752942085270,1.0
SLE,0.0,1.0,5.818181991577150,6.253829002380370,6.18001651763916,-2.7488720417022700,1.0
SLV,20.0,1.0,5.0,7.948031902313230,4.357990264892580,-1.85150945186615,1.0
SOM,0.0,1.0,3.0,,,-3.015934944152830,
STP,100.0,1.0,8.409090995788570,,,,
SUR,1.0,,4.681818008422850,8.010000228881840,3.4713451862335200,-1.3704209327697800,
SVK,100.0,0.0,,8.852235794067380,,,
SVN,,0.0,,9.30018138885498,,,
SWE,100.0,0.0,9.5,9.866304397583010,,-0.23952703177928900,
SWZ,0.0,1.0,,8.107720375061040,,-1.8078888654708900,
SYR,0.0,1.0,5.818181991577150,8.029433250427250,,-0.8255363702774050,
TCD,0.0,1.0,,6.835184574127200,5.63478946685791,-3.44201922416687,
TGO,0.0,1.0,6.909090995788570,7.2225661277771,6.504288196563720,-3.2188758850097700,1.0
THA,0.0,0.0,7.636363506317140,8.774930953979490,4.9416422843933100,-1.85150945186615,
TJK,,0.0,,6.887552738189700,,,
TKM,,0.0,,7.64012336730957,,,
TTO,40.0,1.0,7.454545497894290,8.768730163574220,4.442651271820070,-0.697155237197876,1.0
TUN,3.0,1.0,6.454545497894290,8.4826021194458,4.143134593963620,-1.5278578996658300,1.0
TUR,0.0,0.0,7.454545497894290,8.641179084777830,,-1.523260235786440,
TWN,0.0,0.0,9.227272987365720,,,-0.8096809983253480,
TZA,0.0,1.0,6.636363506317140,6.253829002380370,5.63478946685791,-3.44201922416687,1.0
UGA,0.0,1.0,4.454545497894290,6.966024398803710,5.63478946685791,-3.44201922416687,1.0
UKR,100.0,0.0,,7.811973571777340,,,
URY,60.000003814697300,1.0,7.0,9.031213760375980,4.2626800537109400,-1.0788096189498900,1.0
USA,87.5,1.0,10.0,10.215740203857400,2.70805025100708,0.0,1.0
UZB,,0.0,,7.807916641235350,,,
VEN,20.0,1.0,7.136363506317140,9.071078300476070,4.357990264892580,-0.7031974792480470,1.0
VNM,0.0,1.0,6.409090995788570,7.279318809509280,4.9416422843933100,,1.0
YEM,0.0,1.0,6.363636493682860,6.646390438079830,,-1.5511690378189100,
YUG,100.0,0.0,6.318181991577150,,,-1.2039728164672900,
ZAF,22.0,1.0,6.863636493682860,8.885993957519530,2.740839958190920,-1.3862943649292000,1.0
ZAR,8.0,1.0,3.5,6.866933345794680,5.4806389808654800,-3.411247730255130,1.0
ZMB,3.0,1.0,6.636363506317140,6.8134446144104,,-2.9759297370910600,
ZWE,7.199999809265140,1.0,6.0,7.6962127685546900,,-2.733368158340450,
